"","plot","site","sev","trt","elev","slope","tpi","aspect"
"83","SC_FRL2_02","sc","low","fr",1665,9.8195934,-4.1199951,270
"84","SC_FRL2_03","sc","low","fr",1659,12.8418512,-1.25,282.5288086
"85","SC_FRL3_01","sc","low","fr",1713,22.8344536,-2.5,273.3664551
"86","SC_FRL3_02","sc","low","fr",1742,11.060503,0.7299805,108.4349518
"87","SC_FRL3_03","sc","low","fr",1720,10.9302053,-0.0600586,50.1944275
"88","SC_FRL4_01","sc","low","fr",1683,8.8879929,-0.1199951,108.4349518
"89","SC_FRL4_02","sc","low","fr",1721,21.7747917,3.6999512,111.8014069
"90","SC_FRL4_03","sc","low","fr",1747,9.3662157,-0.0999756,102.9946136
"91","SC_FRL5_01","sc","low","fr",1708,11.8492041,1.8399658,45
"92","SC_FRL5_02","sc","low","fr",1698,5.3787646,0.7700195,113.1985931
"93","SC_FRL5_03","sc","low","fr",1687,12.0079355,0.6700439,125.5376816
"94","SC_FRL6_01","sc","low","fr",1750,19.2736511,2.3499756,98.1301041
"95","SC_FRL6_02","sc","low","fr",1766,6.977592,5.8499756,225
"96","SC_FRL6_03","sc","low","fr",1716,28.6440639,-3.4599609,264.8055725
"97","UC01","quarry","unburn","con",2210,11.8891087,1.0800781,93.3664627
"98","UC02","quarry","unburn","con",2242,12.805274,-0.3400879,225
"99","UC03","quarry","unburn","con",2194,10.9302053,-0.1398926,320.1944275
"100","UC04","quarry","unburn","con",2201,9.7703352,1,338.9624939
"101","UC05","quarry","unburn","con",2228,9.9173174,-0.1499023,45
"102","UC06","quarry","unburn","con",2193,8.8879929,4.0400391,108.4349518
"103","UC07","quarry","unburn","con",2194,14.2824183,4.6499023,150.9453888
"104","UFR01","quarry","unburn","fr",2182,23.8106556,-7.7299805,281.3099365
"105","UFR02","quarry","unburn","fr",2181,15.7442102,-1.5600586,285.255127
"106","UFR03","quarry","unburn","fr",2198,11.1891317,0.3701172,90
"107","UFR04","quarry","unburn","fr",2197,13.7878551,2.9399414,139.0856171
"108","UFR05","quarry","unburn","fr",2194,8.9424782,0.3500977,45
"109","UFR06","quarry","unburn","fr",2242,6.3877707,2.1201172,96.3401947
"110","UFR07","quarry","unburn","fr",2213,8.4386311,0.3100586,90
