plot,code,species
SC_FRL4_02,PEDTEN,Pediomelum tenuiflorum
SC_FRL4_02,YUCGLA,Yucca glauca
SC_FRL4_02,AMBPSI,Ambrosia psilostachya
SC_FRL4_02,LIAPUN,Liatris punctata
SC_FRL4_02,QUILOB,Quincula lobata
SC_FRL4_03,HELANN,Helianthus annuus
SC_FRL4_03,ERIFLA,Erigeron flagellaris
SC_FRL4_03,ARTLUD,Artemesia ludoviciana
SC_FRL4_03,CHEALB,Chenopodium album
SC_FRL4_03,DRYFIS,Drymocallis fissa
SC_FRL4_03,ARTDRA,Artemisia ludoviciana
SC_FRL4_03,ELYSMI,Elymus smithii
SC_FRL4_03,ANDGER,Andropogon gerardii
SC_FRL4_03,OPUPOL,Opuntia polyacantha
SC_FRL4_03,BOUGRA,Bouteloua gracilis
SC_FRL4_03,CERMON,Cercocarpus montanus
SC_FRL4_03,QUILOB,Quincula lobata
SC_FRL4_03,TRARAM,Tragia ramosa
SC_FRL4_03,TRADUB,Tragopogon dubius
SC_FRL4_03,ARTFRI,Artemesia frigida
SC_FRL4_03,ARIPUR,Aristida purpurea
SC_FRL4_03,NOTCUS,Nothocalais cuspidata
SC_FRL4_03,LIAPUN,Liatris punctata
SC_FRL4_03,ROSARK,Rosa arkansana
SC_FRL4_03,DALPUR,Dalea purpurea
SC_FRL4_03,RHUTRI,Rhus trilobata
SC_FRL4_03,TAROFF,Taraxacum officinale
SC_FRL4_03,HARTRA,Harbouria trachypleura
SC_FRL4_03,CONARV,Convolvulus arvensis
SC_FRL4_03,LOMORI,Lomatium orientale
SC_FRL4_03,HELANN,Helianthus annuus
SC_FRL4_03,VIONUT,Viola nuttallii
SC_FRL4_03,LAPOCC,Lapula occidentalis
SC_FRL4_03,ALLTEX,Allium textile
SC_FRL4_03,KOEMAC,Koeleria macrantha
SC_FRL5_01,CERMON,Cercocarpus montanus
SC_FRL5_01,CHEALB,Chenopodium album
SC_FRL5_01,HESCOM,Hesperostipa comata
SC_FRL5_01,BROTEC,Bromus tectorum
SC_FRL5_01,OPUPOL,Opuntia polyacantha
SC_FRL5_01,VIONUT,Viola nuttallii
SC_FRL5_01,EROCIC,Erodium cicutarium
SC_FRL5_01,NOTCUS,Nothocalais cuspidata
SC_FRL5_01,EROCAE,Erodium caespitosum
SC_FRL5_01,TRARAM,Tragia ramosa
SC_FRL5_01,EUPESU,Euphorbia esula
SC_FRL5_01,CORAUR,Corydalis aurea
SC_FRL5_01,BOUGRA,Bouteloua gracilis
SC_FRL5_01,TRAOCC,Tradescantia occidentalis
SC_FRL5_01,TRADUB,Tragopogon dubius
SC_FRL5_01,OPUMAC,Opuntia macrorhiza
SC_FRL5_01,ANDGER,Andropogon gerardii
SC_FRL5_01,YUCGLA,Yucca glauca
SC_FRL5_01,ALLTEX,Allium textile
SC_FRL5_01,HEUPAR,Heuchera parvifolia
SC_FRL5_01,ARIPUR,Aristida purpurea
SC_FRL5_02,HETVIL,Heterotheca villosa
SC_FRL5_02,YUCGLA,Yucca glauca
SC_FRL5_02,ANDGER,Andropogon gerardii
SC_FRL5_02,ERIFLA,Erigeron flagellaris
SC_FRL5_02,CIRUND,Cirsium undulatum
SC_FRL5_02,HESCOM,Hesperostipa comata
SC_FRL5_02,ARTLUD,Artemisia ludoviciana
SC_FRL5_02,EROCIC,Erodium cicutarium
SC_FRL5_02,HELPUM,Helianthus pumilus
SC_FRL5_02,HELANN,Helianthus annuus
SC_FRL5_02,AMBPSI,Ambrosia psilostachya
SC_FRL5_02,BOUGRA,Bouteloua gracilis
SC_FRL5_02,ROSARK,Rosa arkansana
SC_FRL5_02,ARIPUR,Aristida purpurea
SC_FRL5_02,OENSUF,Oenothera suffrutescens
SC_FRL5_02,ARGPOL,Argemone polyanthemos
SC_FRL5_02,OPUPOL,Opuntia polyacantha
SC_FRL5_02,ARTFRI,Artemisia frigida
SC_FRL5_02,TRADUB,Tragopogon dubius
SC_FRL5_02,POMVER,Pombalia verticillata
SC_FRL5_02,RATCOL,Ratibida columnifera
SC_FRL5_02,CHEALB,Chenopodium album
SC_FRL5_02,CHEINC,Chenopodium incanum
SC_FRL5_02,SPHCOC,Sphaeralcea coccinea
SC_FRL5_02,SYMERI,Symphyotrichum ericoides
SC_FRL5_02,ECHVIR,Echinocereus viridiflorus
SC_FRL5_02,TRARAM,Tragia ramosa
SC_FRL5_02,ELYSMI,Elymus smithii
SC_FRL5_02,TRAOCC,Tradescantia occidentalis
SC_FRL5_02,CORAUR,Corydalis aurea
SC_FRL5_02,LAPOCC,Lappula occidentalis
SC_FRL5_03,ANDGER,Andropogon gerardii
SC_FRL5_03,CHEALB,Chenopodium album
SC_FRL5_03,SPHCOC,Sphaeralcea coccinea
SC_FRL5_03,TRADUB,Tragopogon dubius
SC_FRL5_03,ARTLUD,Artemisia ludoviciana
SC_FRL5_03,HESCOM,Hesperostipa comata
SC_FRL5_03,HELPUM,Helianthus pumilus
SC_FRL5_03,EROCIC,Erodium cicutarium
SC_FRL5_03,SOLNIT,Solanum nitidibaccatum
SC_FRL5_03,OPUMAC,Opuntia macrorhiza
SC_FRL5_03,TRARAM,Tragia ramosa
SC_FRL5_03,OENSUF,Oenothera suffrutescens
SC_FRL5_03,CONARV,Convolvulus arvensis
SC_FRL5_03,ARIPUR,Aristida purpurea
SC_FRL5_03,OPUPOL,Opuntia polyacantha
SC_FRL5_03,PEDTEN,Pediomelum tenuiflorum
SC_FRL5_03,EUPESU,Euphorbia esula
SC_FRL5_03,BROTEC,Bromus tectorum
SC_FRL5_03,ARTFRI,Artemisia frigida
SC_FRL5_03,TRAOCC,Tradescantia occidentalis
SC_FRL5_03,BOUCUR,Bouteloua curtipendula
SC_FRL5_03,GALAPA,Galium aparine
SC_FRL5_03,ELYSMI,Elymus smithii
SC_FRL5_03,LINDAL,Linaria dalmatica
SC_FRL5_03,HETVIL,Heterotheca villosa
SC_FRL5_03,OXYSER,Oxytropis sericea
SC_FRL5_03,SYMERI,Symphyotrichum ericoides
SC_FRL5_03,LACSER,Lactuca serriola
SC_FRL5_03,BOUGRA,Bouteloua gracilis
SC_FRL5_03,NUTTEX,Nuttallanthus texanus
SC_FRL6_01,EROCIC,Erodium cicutarium
SC_FRL6_01,CHEALB,Chenopodium album
SC_FRL6_01,HESCOM,Hesperostipa comata
SC_FRL6_01,VIONUT,Viola nuttallii
SC_FRL6_01,ESCMIS,Escobaria missouriensis
SC_FRL6_01,TRARAM,Tragia ramosa
SC_FRL6_01,HARTRA,Harbouria trachypleura
SC_FRL6_01,CERMON,Cercocarpus montanus
SC_FRL6_01,NOTCUS,Nothocalais cuspidata
SC_FRL6_01,CORAUR,Corydalis aurea
SC_FRL6_01,ARTFRI,Artemisia frigida
SC_FRL6_01,EUPESU,Euphorbia esula
SC_FRL6_01,SCUBRI,Scutellaria brittonii
SC_FRL6_01,LAPOCC,Lappula occidentalis
SC_FRL6_01,ARTLUD,Artemisia ludoviciana
SC_FRL6_01,OPUPOL,Opuntia polyacantha
SC_FRL6_01,OPUMAC,Opuntia macrorhiza
SC_FRL6_01,ALLTEX,Allium textile
SC_FRL6_01,TRADUB,Tragopogon dubius
SC_FRL6_01,SPHCOC,Sphaeralcea coccinea
SC_FRL6_01,HELPUM,Helianthus pumilus
SC_FRL6_01,QUILOB,Quincula lobata
SC_FRL6_01,BROTEC,Bromus tectorum
SC_FRL6_01,ALYSIM,Alyssum simplex
SC_FRL6_01,ARIPUR,Aristida purpurea
SC_FRL6_02,CERMON,Cercocarpus montanus
SC_FRL6_02,HESCOM,Hesperostipa comata
SC_FRL6_02,BROTEC,Bromus tectorum
SC_FRL6_02,ARIPUR,Aristida purpurea
SC_FRL6_02,ARTLUD,Artemisia ludoviciana
SC_FRL6_02,ALLTEX,Allium textile
SC_FRL6_02,CORAUR,Corydalis aurea
SC_FRL6_02,TRARAM,Tragia ramosa
SC_FRL6_02,ELYSMI,Elymus smithii
SC_FRL6_02,TRAOCC,Tradescantia occidentalis
SC_FRL6_02,PENVIR,Penstemon virens
SC_FRL6_02,ALYSIM,Alyssum simplex
SC_FRL6_02,EROCIC,Erodium cicutarium
SC_FRL6_02,HEUPAR,Heuchera parvifolia
SC_FRL6_02,EUPESU,Euphorbia esula
SC_FRL6_02,OPUPOL,Opuntia polyacantha
SC_FRL6_02,MIRLIN,Mirabilis linearis
SC_FRL6_02,GALAPA,Galium aparine
SC_FRL6_02,CHEALB,Chenopodium album
SC_FRL6_02,TRADUB,Tragopogon dubius
SC_FRL6_02,DRYFIS,Drymocallis fissa
SC_FRL6_02,VIONUT,Viola nuttallii
SC_FRL6_02,EUPHORBIA SP.,Euphorbia sp.
SC_FRL6_02,OPUMAC,Opuntia macrorhiza
SC_FRL6_02,PACFEN,Packera fendleri
SC_FRL6_02,BOESTR,Boechera stricta
SC_FRL6_02,ESCMIS,Escobaria missouriensis
SC_FRL6_02,NUTTEX,Nuttallanthus texanus
SC_FRL6_02,YUCGLA,Yucca glauca
SC_FRL6_02,OXADIL,Oxalis dillenii
SC_FRL6_03,BROTEC,Bromus tectorum
SC_FRL6_03,CHEALB,Chenopodium album
SC_FRL6_03,ALYSIM,Alyssum simplex
SC_FRL6_03,CAREX SP.,Carex sp.
SC_FRL6_03,SISALT,Sisymbrium altissimum
SC_FRL6_03,DESPIN,Descurainia pinnata
SC_FRL6_03,CAMMIC,Camelina microcarpa
SC_FRL6_03,CORAUR,Corydalis aurea
SC_FRL6_03,YUCGLA,Yucca glauca
SC_FRL6_03,OENSUF,Oenothera suffrutescens
SC_FRL6_03,ARTLUD,Artemisia ludoviciana
SC_FRL6_03,EROCIC,Erodium cicutarium
SC_FRL6_03,LINDAL,Linaria dalmatica
SC_FRL6_03,TRADUB,Tragopogon dubius
SC_FRL6_03,GALAPA,Galium aparine
SC_FRL6_03,ELYSMI,Elymus smithii
SC_FRL6_03,TRAOCC,Tradescantia occidentalis
UC01,GALTRI,Galium trilobata
UC01,LIGPOR,Ligusticum porteri
UC01,PINPON,Pinus ponderosa
UC01,QUEGAM,Quercus gambelii
UC01,MAHREP,Mahonia repens
UC01,OSMDEP,Osmorhiza depauperata
UC01,CAREX SP.,Carex sp.
UC01,MAISTE,Maianthemum stellatum
UC01,PSEMEN,Pseudotsuga menziesii
UC01,ACEGLA,Acer glabrum
UC01,AGOAUR,Agoseris aurantiaca
UC01,SYMALB,Symphoricarpos albus
UC01,RUMCRI,Rumex crispus
UC01,ELYTRA,Elymus trachycaulus
UC01,CIRARV,Cirsium arvense
UC01,GALBOR,Galium boreale
UC01,VIONUT,Viola nuttallii
UC02,CAREX SP.,Carex sp.
UC02,JUNSCO,Juniperus scopulorum
UC02,DELNUT,Delphinium nuttallianum
UC02,MAISTE,Maianthemum stellatum
UC02,COLPAR,Collinsia parviflora 
UC02,MAHREP,Mahonia repens
UC02,QUEGAM,Quercus gambelii
UC02,CERARV,Cerastium arvense strictum
UC02,POAPRA,Poa pratensis
UC02,SCUBRI,Scutellaria brittonii
UC02,BROINE,Bromus inermis
UC02,TAROFF,Taraxacum officinale
UC02,UNK12,
UC02,SYMALB,Symphoricarpos albus
UC02,MIRLIN,Mirabilis linearis
UC02,PSEMEN,Pseudotsuga menziesii
UC02,CLAPER,Claytonia perfoliata
UC02,ACHMIL,Achillea millefolium
UC03,CAREX SP.,Carex sp.
UC03,MAHREP,Mahonia repens
UC03,PSEMEN,Pseudotsuga menziesii
UC03,QUEGAM,Quercus gambelii
UC03,AMEALN,Amelanchier alnifolia
UC03,LIGPOR,Ligusticum porteri
UC03,GALBOR,Galium boreale
UC04,MAHREP,Mahonia repens
UC04,CAREX SP.,Carex sp.
UC04,VACSCO,Vaccinium scoparium
UC04,VERTHA,Verbascum thapsus
UC04,PSEMEN,Pseudotsuga menziesii
UC04,CYNOFF,Cynoglossum officinale
UC04,JUNCOM,Juniperus communis
UC04,ACEGLA,Acer glabrum
UC04,APOAND,Apocynum androsaemifolium
UC05,PSEMEN,Pseudotsuga menziesii
UC05,QUEGAM,Quercus gambelii
UC05,LIGPOR,Ligusticum porteri
UC05,ARNCOR,Arnica cordifolia
UC05,CAREX SP.,Carex sp.
UC05,MAHREP,Mahonia repens
UC05,MAISTE,Maianthemum stellatum
UC05,VULOCT,Vulpia octoflora
UC05,CAREX SP. 2,Carex sp. 2
UC05,GALBOR,Galium boreale
UC05,SYMALB,Symphoricarpos albus
UC05,ROSWOO,Rosa woodsii
UC06,QUEGAM,Quercus gambelii
UC06,COLLIN,Collomia linearis
UC06,CAREX SP.,Carex sp.
UC06,ELYSMI,Elymus smithii
UC06,POLDOU,Polygonum douglasii 
UC06,BROTEC,Bromus tectorum
UC06,COLPAR,Collinsia parviflora 
UC06,CALGUN,Calochortus gunnisonii
UC06,DELNUT,Delphinium nuttallianum
UC06,APOAND,Apocynum androsaemifolium
UC06,CERARV,Cerastium arvense strictum
UC06,AGOGLA,Agoseris glauca
UC06,CLAPER,Claytonia perfoliata
UC06,UNK13,
UC06,PSEMEN,Pseudotsuga menziesii
UC06,GALAPA,Galium aparine
UC07,POLDOU,Polygonum douglasii 
UC07,ARTLUD,Artemesia ludoviciana
UC07,BROTEC,Bromus tectorum
UC07,VULOCT,Vulpia octoflora
UC07,PENVIR,Penstemon virens
UC07,QUEGAM,Quercus gambelii
UC07,GILCUD,Gilia clokeyi 
UC07,ACHMIL,Achillea millefolium
UC07,GAYDIF,Gayophytum diffusum
UC07,SCUBRI,Scutellaria brittonii
UC07,PACFEN,Packera fendleri
UC07,COLPAR,Collinsia parviflora 
UC07,CLAPER,Claytonia perfoliata
UC07,ARIPUR,Aristida purpurea
UC07,BROINE,Bromus inermis
UC07,COLLIN,Collomia linearis
UC07,CAREX SP.,Carex sp.
UC07,DRYFIS,Drymocallis fissa
UC07,CAMPET,Campanula petiolata
UC07,MERLAN,Mertensia lanceolata
UFR01,CLAPER,Claytonia perfoliata
UFR01,CAREX SP.,Carex sp.
UFR01,OSMDEP,Osmorhiza depauperata
UFR01,MAISTE,Maianthemum stellatum
UFR01,COLLIN,Collomia linearis
UFR01,MAHREP,Mahonia repens
UFR01,ACEGLA,Acer glabrum
UFR01,MERLAN,Mertensia lanceolata
UFR01,ROSWOO,Rosa woodsii
UFR01,PRUVIR,Prunus virginiana
UFR01,BROINE,Bromus inermis
UFR01,RIBINE,Ribes inermi
UFR01,VIOCAN,Viola canadensis
UFR01,SYMALB,Symphoricarpos albus
UFR01,TAROFF,Taraxacum officinale
UFR01,GALBOR,Galium boreale
UFR01,PSEMEN,Pseudotsuga menziesii
UFR01,SILANT,Silene antirrhina
UFR01,ERISPE,Erigeron speciosus
UFR02,OSMDEP,Osmorhiza depauperata
UFR02,CYNOFF,Cynoglossum officinale
UFR02,CLAPER,Claytonia perfoliata
UFR02,MAHREP,Mahonia repens
UFR02,VULOCT,Vulpia octoflora
UFR02,ORYASP,Oryzopsis asperifolia
UFR02,MAISTE,Maianthemum stellatum
UFR02,QUEGAM,Quercus gambelii
UFR02,LIGPOR,Ligusticum porteri
UFR02,GALBOR,Galium boreale
UFR02,PSEMEN,Pseudotsuga menziesii
UFR02,CARNUT,Carduus nutans
UFR02,ELYSMI,Elymus smithii
UFR02,SYMALB,Symphoricarpos albus
UFR02,VERTHA,Verbascum thapsus
UFR02,SCUBRI,Scutellaria brittonii
UFR02,LACSER,Lactuca serriola
UFR02,GALAPA,Galium aparine
UFR02,ARNCOR,Arnica cordifolia
UFR02,VIOCAN,Viola canadensis
UFR02,SENINT,Senecio integerrimus 
UFR02,JUNSCO,Juniperus scopulorum
UFR02,HESCOM,Hesperostipa comata
UFR02,DELNUT,Delphinium nuttallianum
UFR02,CAREX SP.,Carex sp.
UFR02,STRAMP,Streptopus amplexifolius
UFR02,POLDOU,Polygonum douglasii 
UFR02,FALCON,Fallopia convolvulus
UFR02,TRADUB,Tragopogon dubius
UFR02,TAROFF,Taraxacum officinale
UFR02,SCRLAN,Scrophularia lanceolata
UFR02,POAPRA,Poa pratensis
UFR02,MERLAN,Mertensia lanceolata
UFR02,APOAND,Apocynum androsaemifolium
UFR02,NEPCAT,Nepeta cataria
UFR02,BOESTR,Boechera stricta
UFR03,MAHREP,Mahonia repens
UFR03,VIOSOR,Viola sororia
UFR03,MAISTE,Maianthemum stellatum
UFR03,OSMDEP,Osmorhiza depauperata
UFR03,LIGPOR,Ligusticum porteri
UFR03,CAREX SP.,Carex sp.
UFR03,CIRARV,Cirsium arvense
UFR03,PRUVIR,Prunus virginiana
UFR03,GALAPA,Galium aparine
UFR03,QUEGAM,Quercus gambelii
UFR03,JUNSCO,Juniperus scopulorum
UFR03,PSEMEN,Pseudotsuga menziesii
UFR03,BROINE,Bromus inermis
UFR03,CLAPER,Claytonia perfoliata
UFR03,CIRALP,Circaea alpina
UFR03,CAMROT,Campanula rotundifolia
UFR03,CYSFRA,Cystopteris fragilis
UFR03,FALCON,Fallopia convolvulus
UFR03,TAROFF,Taraxacum officinale
UFR03,RUMCRI,Rumex crispus
UFR03,VIOCAN,Viola canadensis
UFR03,ARNCOR,Arnica cordifolia
UFR03,DELNUT,Delphinium nuttallianum
UFR04,QUEGAM,Quercus gambelii
UFR04,ALYSIM,Alyssum simplex
UFR04,CAREX SP.,Carex sp.
UFR04,SCUBRI,Scutellaria brittonii
UFR04,PENVIR,Penstemon virens
UFR04,BROTEC,Bromus tectorum
UFR04,ACHMIL,Achillea millefolium
UFR04,HETVIL,Heterotheca vilosa
UFR04,COLLIN,Collomia linearis
UFR04,ALLCER,Allium cernuum
UFR04,ERIUMB,Erigeron umbellularia
UFR04,GALAPA,Galium aparine
UFR04,COMUMB,Comandra umbellata
UFR04,CHAANG,Chamerion angustifolium
UFR04,VERTHA,Verbascum thapsus
UFR04,MONFIS,Monarde fistulosa
UFR04,DRYFIL,Dryopteris filix-mas
UFR04,ELYTRA,Elymus trachycaulus
UFR04,CAMPET,Camelina petiolata
UFR04,LUPARG,Lupinus argenteus
UFR04,JUNSCO,Juniperus scopulorum
UFR04,ARTFRI,Artemisia frigida
UFR04,ASTMIS,Astragalus miser
UFR04,SOLSIM,Solidago simplex
UFR05,CYNOFF,Cynoglossum officinale
UFR05,MAISTE,Maianthemum stellatum
UFR05,ARNCOR,Arnica cordifolia
UFR05,MAHREP,Mahonia repens
UFR05,GALBOR,Galium boreale
UFR05,LIGPOR,Ligusticum porteri
UFR05,VERTHA,Verbascum thapsus
UFR05,JUNCOM,Juniperus communis
UFR05,PSEMEN,Pseudotsuga menziesii
UFR05,VULOCT,Vulpia octoflora
UFR05,CAREX SP.,Carex sp.
UFR05,CAREX SP. 2,Carex sp. 2
UFR05,UNK15,
UFR05,BROINE,Bromus inermis
UFR05,QUEGAM,Quercus gambelii
UFR05,CLAPER,Claytonia perfoliata
UFR05,AQUCOE,Aquilegia coerulea
UFR05,MERLAN,Mertensia lanceolata
UFR05,ROSWOO,Rosa woodsii
UFR05,GALTRI,Galium triflorum
UFR05,OSMDEP,Osmorhiza depauperata
UFR05,TAROFF,Taraxacum officinale
UFR05,ACEGLA,Acer glabrum
UFR06,SYMALB,Symphoricarpos albus
UFR06,VERTHA,Verbascum thapsus
UFR06,LIGPOR,Ligusticum porteri
UFR06,POAPRA,Poa pratensis
UFR06,CAREX SP.,Carex sp.
UFR06,CLAPER,Claytonia perfoliata
UFR06,QUEGAM,Quercus gambelii
UFR06,PRUVIR,Prunus virginiana
UFR06,DELNUT,Delphinium nuttallianum
UFR06,MAISTE,Maianthemum stellatum
UFR06,JUNOCC,Juniperus occidentalis
UFR06,MAHREP,Mahonia repens
UFR06,OSMDEP,Osmorhiza depauperata
UFR06,COLPAR,Collinsia parviflora 
UFR06,GALAPA,Galium aparine
UFR06,UNK12,
UFR06,BROINE,Bromus inermis
UFR06,ROSWOO,Rosa woodsii
UFR07,PSEMEN,Pseudotsuga menziesii
UFR07,CAREX SP.,Carex sp.
UFR07,LIGPOR,Ligusticum porteri
UFR07,MAHREP,Mahonia repens
UFR07,QUEGAM,Quercus gambelii
UFR07,CLAPER,Claytonia perfoliata
UFR07,PRUVIR,Prunus virginiana
UFR07,UNK14,
UFR07,MAISTE,Maianthemum stellatum
UFR07,BROINE,Bromus inermis
UFR07,ARNCOR,Arnica cordifolia
