Field ID,Location,Burn Severity,Treatment,pH,DOC,TDN,Na,NH4,K,Mg,Ca,Cl,NO3,PO4,SO4
SC_CON_08,Stone Canyon,Unburned,Control,6.89,0.418074186,0.467044634,0.038144093,0.02120519,0.385574182,0.15389243,1.20279549,0.079049268,0.949064377,0.074898356,0.052030634
SC_CON_09,Stone Canyon,Unburned,Control,6.54,0.900300601,1.018286573,0.028308142,0.011672113,0.742387432,0.209655076,1.704151579,0.0982245,2.130161093,0.048545833,0.104757299
SC_CON_10,Stone Canyon,Unburned,Control,6.53,0.724791083,0.717575968,0.021973738,0.004293667,0.446889441,0.15651565,1.565860405,0.050241093,1.391620962,0.143094437,0.069228164
SC_CON_12,Stone Canyon,Unburned,Control,6.34,1.215418033,0.741655738,0.03298451,0.002646047,0.634309782,0.125066771,1.412643004,0.068769332,1.164032076,0.012232324,0.059142894
SC_CON_13,Stone Canyon,Unburned,Control,6.97,0.616548127,0.615930206,0.035280127,0.029158133,0.548973424,0.129680909,1.913850433,0.073982482,1.218212261,0.052022043,0.080887439
SC_CON_14,Stone Canyon,Unburned,Control,6.88,0.677843038,0.903364803,0.030804512,0.014184911,0.715366163,0.117574194,1.30280419,0.060403651,1.931961307,0.11447894,0.073922754
SC_CON_15,Stone Canyon,Unburned,Control,7,0.409892171,0.926972402,0.017708734,0.013088923,0.401097003,0.064335144,2.019978923,0.039418985,1.120321994,0.032066366,0.050812951
SC_CON_16,Stone Canyon,Unburned,Control,7.07,1.593009978,1.30909987,0.021135198,0.002617604,0.746087692,0.241998691,4.538146187,0.043566987,2.622127828,0.045231106,0.144512087
SC_CON_17,Stone Canyon,Unburned,Control,6.67,1.020763203,1.221328497,0.062951668,0.023308659,0.714413746,0.230360661,1.915104638,0.125019523,2.521033714,0.027453403,0.121251434
SC_CON_18,Stone Canyon,Unburned,Control,6.63,1.240353507,1.746100634,0.123172504,0.044644081,0.755821891,0.331566113,2.915898075,0.20537123,3.805444107,0.0352195,0.183885769
SC_FRL1_01,Stone Canyon,Fire  Line,Fire Retardant,6.65,1.191150695,1.662814393,0.020122113,0.049072074,0.900254471,0.376734673,1.893894277,0.059765901,3.957064452,0.893659706,0.885122178
SC_FRL1_02,Stone Canyon,Fire  Line,Fire Retardant,6.31,1.152845219,1.482941365,0.017984781,0.050696556,0.677154251,0.337722719,2.266536609,0.063649903,3.287258287,0.727789208,1.090052007
SC_FRL1_03,Stone Canyon,Fire  Line,Fire Retardant,6.64,1.102866043,1.503311451,0.013652598,0.052837611,0.673632936,0.304949264,1.827787516,0.062770276,3.371790746,0.4982027,0.648007438
SC_FRL2_01,Stone Canyon,Fire  Line,Fire Retardant,7.13,0.606112767,0.767240435,0.014496914,0.033671634,0.73235064,0.175776133,4.026278639,0.054311076,2.061458789,0.308439139,0.081283537
SC_FRL2_02,Stone Canyon,Fire  Line,Fire Retardant,7.15,0.719093208,0.761932803,0.011552214,0.025877803,0.556818963,0.147920772,3.599397778,0.025575384,1.495119029,0.256741078,0.088913117
