site,native,invasive,annual,native.spp,invasive.spp,annual.spp
quarry,44.9 ± 20.9,0.1 ± 0.2,1.0 ± 1.5,13.0 ± 4.1,1.4 ± 1.1,2.6 ± 3.3
sc,27.3 ± 16.9,23.9 ± 25.7,22.2 ± 26.9,23.9 ± 3.5,6.2 ± 1.7,6.6 ± 2.0
