"Response","family","link","method","R.squared","site"
"pH","gaussian","identity","none",0.64,"Quarry"
"Na","gaussian","identity","none",0.09,"Quarry"
"K","gaussian","identity","none",0.05,"Quarry"
"SO4","gaussian","identity","none",0.23,"Quarry"
"pH","gaussian","identity","none",0.26,"Stone Canyon"
"Na","gaussian","identity","none",0.17,"Stone Canyon"
"K","gaussian","identity","none",0.1,"Stone Canyon"
"SO4","gaussian","identity","none",0.36,"Stone Canyon"
